Family,Scientific name,Common name(s),Red List status,Population trend
VIPERIDAE,Atheris ceratophora,Usambara Eyelash Viper,VU,unknown
VIPERIDAE,Atheris hirsuta,Tai Hairy Bush Viper,VU,unknown
DIPSADIDAE,Atractus modestus,Modest Ground Snake,VU,unknown
DIPSADIDAE,Atractus nicefori,Northern Ground Snake,VU,unknown
DIPSADIDAE,Atractus roulei,Roule's Ground Snake,VU,unknown
ELAPIDAE,Austrelaps labialis,Pygmy Copperhead,VU,
VIPERIDAE,Bitis inornata,Plain Mountain Adder,VU,
VIPERIDAE,Bitis schneideri,Namaqua Dwarf Adder,VU,
VIPERIDAE,Bothriechis aurifer,Yellow-blotched Palm Pit Viper,VU,decreasing
VIPERIDAE,Bothriechis rowleyi,Rowley's Palm Pit Viper,VU,decreasing
VIPERIDAE,Bothrops pirajai,Piraja's Lancehead,VU,decreasing
PSEUDOXYRHOPHIIDAE,Brygophis coulangesi,,VU,unknown
ELAPIDAE,Bungarus andamanensis,"Andaman's Krait, South Andaman Krait",VU,unknown
ELAPIDAE,Bungarus slowinskii,Red River Krait,VU,unknown
DIPSADIDAE,Calamodontophis paucidens,Tropical Forest Snake,VU,decreasing
PSEUDOXYRHOPHIIDAE,Compsophis zeny,,VU,decreasing
DIPSADIDAE,Coniophanes dromiciformis,Peters' Running Snake,VU,unknown
VIPERIDAE,Crotalus stejnegeri,,VU,decreasing
VIPERIDAE,Cryptelytrops honsonensis,Hon Son Pit Viper,VU,stable
VIPERIDAE,Cryptelytrops rubeus,Ruby-eyed Green Pitviper,VU,decreasing
ELAPIDAE,Denisonia maculata,Ornamental Snake,VU,
COLUBRIDAE,Dryocalamus philippinus,,VU,decreasing
COLUBRIDAE,Dryophiops philippina,Philippine Dryophiops,VU,decreasing
ELAPIDAE,Echiopsis atriceps,Lake Cronin Snake,VU,
HOMALOPSIDAE,Enhydris longicauda,"Longhead Water Snake, Longtailed Mud Snake, Tonlé Sap Water Snake",VU,decreasing
BOIDAE,Epicrates subflavus,"Jamaican Boa, Yellow Snake",VU,
ELAPIDAE,Furina dunmalli,Dunmall's Snake,VU,decreasing
DIPSADIDAE,Geophis juliai,,VU,decreasing
VIPERIDAE,Gloydius shedaoensis,Shedao Island Pit Viper,VU,unknown
DIPSADIDAE,Heterodon simus,"Southern Hog-nosed Snake, Southern Hognose Snake",VU,decreasing
ELAPIDAE,Hoplocephalus bungaroides,Broad-headed Snake,VU,
ELAPIDAE,Hydrophis semperi,Lake Taal Snake,VU,decreasing
ELAPIDAE,Laticauda crockeri,"Crocker's Sea Snake, Rennell Island Sea Krait",VU,unknown
ELAPIDAE,Laticauda schistorhynchus,Flat-tail Sea Snake,VU,unknown
COLUBRIDAE,Leptophis modestus,Cloud Forest Parrot Snake,VU,decreasing
PSEUDOXYRHOPHIIDAE,Liophidium therezieni,,VU,decreasing
DIPSADIDAE,Liophis atraventer,,VU,decreasing
PSEUDOXYRHOPHIIDAE,Liopholidophis grandidieri,Grandidier's Water Snake,VU,unknown
COLUBRIDAE,Lycodon paucifasciatus,Rendahl's Wolf Snake,VU,unknown
PSEUDOXYRHOPHIIDAE,Lycodryas citrinus,,VU,unknown
PSEUDOXYRHOPHIIDAE,Lycodryas inornatus,,VU,decreasing
LAMPROPHIIDAE,Lycophidion nanus,Dwarf Wolf Snake,VU,unknown
ELAPIDAE,Micrurus ephippifer,,VU,decreasing
VIPERIDAE,Montivipera albicornuta,,VU,decreasing
ELAPIDAE,Naja mandalayensis,Mandalay Cobra,VU,decreasing
ELAPIDAE,Naja siamensis,"Black And White Spitting Cobra, Indo-chinese Spitting Cobra, Siamese Cobra",VU,decreasing
NATRICIDAE,Natrix megalocephala,"Colkhis Water Snake, Large-headed Water Snake",VU,decreasing
ELAPIDAE,Ogmodon vitianus,"Fiji Snake, Viti Bolo",VU,
COLUBRIDAE,Oligodon juglandifer,Walnut Kukri Snake,VU,unknown
COLUBRIDAE,Oligodon lacroixi,Lacroix Kukri Snake,VU,unknown
COLUBRIDAE,Oligodon modestum,Spotted-bellied Short-headed Snake,VU,decreasing
COLUBRIDAE,Oligodon pulcherrimus,,VU,unknown
ELAPIDAE,Ophiophagus hannah,"Hamadryad, King Cobra",VU,decreasing
VIPERIDAE,Ophryacus undulatus,,VU,decreasing
COLUBRIDAE,Orthriophis moellendorfi,Moellendorff's Trinket Snake,VU,decreasing
PSEUDOXYRHOPHIIDAE,Pararhadinaea melanogaster,,VU,decreasing
DIPSADIDAE,Philodryas livida,,VU,unknown
VIPERIDAE,Popeia nebularis,Cameron Highlands Pit Viper,VU,unknown
CALAMARIIDAE,Pseudorabdion mcnamarae,Mcnamara's Burrowing Snake,VU,decreasing
CALAMARIIDAE,Pseudorabdion talonuran,,VU,unknown
PSEUDOXYRHOPHIIDAE,Pseudoxyrhopus oblectator,,VU,decreasing
PSEUDOXYRHOPHIIDAE,Pseudoxyrhopus sokosoko,,VU,unknown
PYTHONIDAE,Python bivittatus,Burmese Python,VU,decreasing
PYTHONIDAE,Python kyaiktiyo,,VU,unknown
TYPHLOPIDAE,Ramphotyphlops exocoeti,Christmas Island Blind Snake,VU,
DIPSADIDAE,Rhadinaea fulvivittis,Ribbon Graceful Brown Snake,VU,decreasing
NATRICIDAE,Storeria hidalgoensis,,VU,decreasing
DIPSADIDAE,Tantalophis discolor,,VU,decreasing
COLUBRIDAE,Tantilla boipiranga,,VU,unknown
COLUBRIDAE,Tetralepis fruhstorferi,Fruhstorfer's Mountain Snake,VU,
NATRICIDAE,Thamnophis gigas,"Giant Gartersnake, Giant Garter Snake",VU,decreasing
NATRICIDAE,Thamnophis scaliger,,VU,decreasing
PSEUDOXYRHOPHIIDAE,Thamnosophis stumpffi,Yellow-striped Water Snake,VU,decreasing
DIPSADIDAE,Thermophis baileyi,,VU,
NATRICIDAE,Tropidonophis negrosensis,,VU,decreasing
TYPHLOPIDAE,Typhlops manni,Mann's Worm Snake,VU,unknown
VIPERIDAE,Vipera dinniki,"Caucasus Subalpine Viper, Dinnik's Viper",VU,decreasing
VIPERIDAE,Vipera ebneri,Iranian Mountain Steppe Viper,VU,decreasing
VIPERIDAE,Vipera eriwanensis,"Alburzi Viper, Armenian Steppe Viper",VU,decreasing
VIPERIDAE,Vipera latastei,Lataste's Viper,VU,decreasing
VIPERIDAE,Vipera ursinii,"Meadow Viper, Orsini's Viper, Orsinis Viper",VU,decreasing
XENOSAURIDAE,Xenosaurus grandis,,VU,decreasing
VIPERIDAE,Agkistrodon bilineatus,,NT,decreasing
