Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Original Ask Amount,Original Ask Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Valuation Offered,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Number of sharks in deal
1,25,An Ocean Of Opportunities,79,PawsIndia,Animal/Pets,Dog Products,,1,,1,0,,,Mumbai,Maharashtra,,2000000,,50,4,1250,1,1,50,15,,333,,,,0,0,,50,15,,0,0,,,,,0,0,,0,0,,1
1,25,An Ocean Of Opportunities,80,Sunfox Technologies,Medical,Portable ECG Device,,4,4,,0,,2019,Dehradun,Uttarakhand,120,500000,,100,2,5000,1,1,100,6,,1667,,,,20,1.2,,20,1.2,,20,1.2,,,,,20,1.2,,20,1.2,,5
1,25,An Ocean Of Opportunities,81,Alpino,Food,Roasted Peanut butter Products,,4,4,,0,,2016,Surat,Gujarat,1000,,38,150,2,7500,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,Revolutionary Ideas,82,Isak Fragrances,Beauty/Fashion,Perfumes Fragrances,,1,,1,0,,2016,Lucknow,Uttar Pradesh,,350000,,50,8,625,1,1,50,50,,100,,,,0,0,,0,0,,0,0,,,,,50,50,,0,0,,1
1,26,Revolutionary Ideas,83,Julaa Automation,Manufacturing,Automatic Cradle,,3,3,,0,,,,,,0,,50,10,500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,Revolutionary Ideas,84,Rare Planet,Manufacturing,Handicrafts,,2,2,,0,,,,,,1200000,,65,1,6500,1,1,65,3,,2167,,,,65,3,,0,0,,0,0,,,,,0,0,,0,0,,1
1,27,Investing In The Future Of India,85,Theka Coffee,Food,Coffee Products,,1,1,,0,,2018,Gandhinagar,Gujarat,180,400000,,50,10,500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,Investing In The Future Of India,86,Watt Technovations,Medical,Ventilated PPE Kits,,1,1,,0,,,,,,,,0.00101,2,0,1,1,0.00101,4,,0,,,,0.0002525,1,,0.0002525,1,,0,0,,,,,0.0002525,1,,0.0002525,1,,4
1,27,Investing In The Future Of India,87,Aliste Technologies,Technology,Automation Solutions,,6,6,,0,,2020,,,,750000,40,60,5,1200,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,Investing In The Future Of India,88,Insurance Samadhan,Services,Insurance Solutions,,3,2,1,,,,,,,2200000,,100,1,10000,1,1,100,4,,2500,,,,0,0,,0,0,,0,0,,,,,100,4,,0,0,,1
